numero,grupo_parlamentario,congresista,asistencia
1,APP,"ACUÑA PERALTA, MARÍA GRIMANEZA",PRE
2,APP,"ACUÑA PERALTA, SEGUNDO HÉCTOR",PRE
3,PL,"AGÜERO GUTIÉRREZ, MARÍA ANTONIETA",PRE
4,FP,"AGUINAGA RECUENCO, ALEJANDRO AURELIO",PRE
5,SP-PM,"ALCARRAZ AGUERO, YOREL KIRA",AUS
6,FP,"ALEGRÍA GARCÍA, ARTURO",PRE
7,AP,"ALVA PRIETO, MARÍA DEL CARMEN",PRE
8,AP,"ALVA ROJAS, CARLOS ENRIQUE",PRE
9,AP-PIS,"AMURUZ DULANTO, YESSICA ROSSELLI",PRE
10,PP,"ANDERSON RAMÍREZ, CARLOS ANTONIO",PRE
11,AP,"ARAGÓN CARREÑO, LUIS ÁNGEL",PRE
12,AP,"ARRIOLA TUEROS, JOSÉ ALBERTO",PRE
13,SP-PM,"AZURÍN LOAYZA, ALFREDO",PRE
14,PL,"BALCÁZAR ZELADA, JOSÉ MARÍA",PRE
15,FP,"BARBARÁN REYES, ROSANGELLA ANDREA",PRE
16,AP-PIS,"BAZÁN CALDERÓN, DIEGO ALONSO FERNANDO",PRE
17,JPP,"BAZÁN NARRO, SIGRID TESORO",PRE
18,PL,"BELLIDO UGARTE, GUIDO",LO
19,PL,"BERMEJO ROJAS, GUILLERMO",PRE
20,AP-PIS,"BURGOS OLIVEROS, JUAN BARTOLOMÉ",PRE
21,FP,"BUSTAMANTE DONAYRE, ERNESTO",PRE
22,PP,"CALLE LOBATÓN, DIGNA",PRE
23,APP,"CAMONES SORIANO, LADY MERCEDES",AUS
24,FP,"CASTILLO RIVAS, EDUARDO ENRIQUE",PRE
25,AP-PIS,"CAVERO ALVA, ALEJANDRO ENRIQUE",PRE
26,PL,"CERRÓN ROJAS, WALDEMAR JOSÉ",PRE
27,FP,"CHACÓN TRUJILLO, NILZA MERLY",PRE
28,PL,"CHÁVEZ CHINO, BETSSY BETZABET",PRE
29,APP,"CHIABRA LEÓN, ROBERTO ENRIQUE",PRE
30,AP-PIS,"CHIRINOS VENEGAS, PATRICIA ROSA",PRE
31,RP,"CICCIA VÁSQUEZ, MIGUEL ANGEL",PRE
32,PL,"COAYLA JUÁREZ, JORGE SAMUEL",PRE
33,FP,"CORDERO JON TAY, LUIS GUSTAVO",PRE
34,FP,"CORDERO JON TAY, MARÍA DEL PILAR",PRE
35,AP-PIS,"CÓRDOVA LOBATÓN, MARÍA JESSICA",PRE
36,JPP,"CORTEZ AGUIRRE, ISABEL",PRE
37,PL,"CRUZ MAMANI, FLAVIO",PRE
38,RP,"CUETO ASERVI, JOSÉ ERNESTO",PRE
39,PL,"CUTIPA CCAMA, VÍCTOR RAÚL",PRE
40,PL,"DÁVILA ATANACIO, PASIÓN NEOMIAS",PRE
41,APP,"DÍAZ MONAGO, FREDDY RONALD",PRE
42,AP,"DOROTEO CARBAJO, RAÚL FELIPE",PRE
43,APP,"ECHAÍZ DE NÚÑEZ IZAGA, GLADYS MARGOT",PRE
44,PL,"ECHEVERRÍA RODRÍGUEZ, HAMLET",PRE
45,SP-PM,"ELERA GARCÍA, WILMAR ALBERTO",PRE
46,PP,"ELÍAS ÁVALOS, JOSÉ LUIS",AUS
47,AP,"ESPINOZA VARGAS, JHAEC DARWIN",PRE
48,AP,"FLORES ANCACHI, JORGE LUIS",PRE
49,PL,"FLORES RAMÍREZ, ALEX RANDU",PRE
50,FP,"FLORES RUÍZ, VÍCTOR SEFERINO",PRE
51,APP,"GARCÍA CORREA, IDELSO MANUEL",PRE
52,PL,"GONZA CASTILLO, AMERICO",PRE
53,AP-PIS,"GONZALES DELGADO, DIANA CAROLINA",PRE
54,FP,"GUERRA GARCÍA, CAMPOS HERNANDO",PRE
55,PL,"GUTIÉRREZ TICONA, PAUL SILVIO",PRE
56,PL,"HERRERA MAMANI, FERNANDO MARIO",PRE
57,RP,"HERRERA MEDINA, NOELIA ROSSVITH",PRE
58,FP,"HUAMÁN CORONADO, RAÚL",PRE
59,FP,"INFANTES CASTAÑEDA, MERY ELIANA",PRE
60,RP,"JÁUREGUI MARTÍNEZ DE AGUAYO, MARÍA DE LOS MILAGROS JACKELINE",PRE
61,SP-PM,"JERI ORÉ, JOSÉ ENRIQUE",PRE
62,FP,"JIMÉNEZ HEREDIA, DAVID JULIO",PRE
63,APP,"JUÁREZ CALLE, HEIDY LISBETH",PRE
64,FP,"JUÁREZ GALLEGOS, CARMEN PATRICIA",PRE
65,APP,"JULON IRIGOIN, ELVA EDHIT",PRE
66,PL,"KAMICHE MORANTE, LUIS ROBERTO",PRE
67,FP,"LIZARZABURU LIZARZABURU, JUAN CARLOS MARTIN",PRE
68,FP,"LÓPEZ MORALES, JENY LUZ",PRE
69,AP,"LÓPEZ UREÑA, ILICH FREDY",PRE
70,PP,"LUNA GÁLVEZ, JOSÉ LEÓN",AUS
71,JPP,"LUQUE IBARRA, RUTH",PRE
72,SP-PM,"MÁLAGA TRILLO, GEORGE EDWARD",PRE
73,PL,"MARTICORENA MENDOZA, JORGE ALFONSO",PRE
74,AP,"MARTÍNEZ TALAVERA, PEDRO EDWIN",PRE
75,PL,"MEDINA HERMOSILLA, ELIZABETH SARA",PRE
76,RP,"MEDINA MINAYA, ESDRAS RICARDO",PRE
77,PL,"MONTALVO CUBAS, SEGUNDO TORIBIO",PRE
78,AP,"MONTEZA FACHO, SILVIA MARÍA",PRE
79,RP,"MONTOYA MANRIQUE, JORGE CARLOS",PRE
80,FP,"MORANTE FIGARI, JORGE ALBERTO",PRE
81,AP,"MORI CELIS, JUAN CARLOS",PRE
82,FP,"MOYANO DELGADO, MARTHA LUPE",AUS
83,RP,"MUÑANTE BARRIOS, ALEJANDRO",PRE
84,FP,"OBANDO MORGAN, AURISTELA ANA",PRE
85,FP,"OLIVOS MARTÍNEZ, VIVIAN",PRE
86,SP-PM,"PABLO MEDINA, FLOR AIDEE",PRE
87,RP,"PADILLA ROMERO, JAVIER ROMMEL",PRE
88,PL,"PALACIOS HUÁMAN, MARGOT",PRE
89,PL,"PAREDES CASTRO, FRANCIS JHASMINA",PRE
90,AP,"PAREDES FONSECA, KAROL IVETT",PRE
91,PL,"PAREDES GONZALES, ALEX ANTONIO",PRE
92,SP-PM,"PAREDES PIQUÉ, SUSEL ANA MARÍA",AUS
93,PL,"PARIONA SINCHE, ALFREDO",PRE
94,APP,"PICÓN QUEDO, LUIS RAÚL",PRE
95,PL,"PORTALATINO ÁVALOS, KELLY ROXANA",PRE
96,AP,"PORTERO LÓPEZ, HILDA MARLENY",PRE
97,PL,"QUIROZ BARBOZA, SEGUNDO TEODOMIRO",PRE
98,PL,"QUISPE MAMANI, WILSON RUSBEL",PRE
99,PL,"QUITO SARMIENTO, BERNARDO JAIME",PRE
100,FP,"RAMÍREZ GARCÍA, TANIA ESTEFANY",PRE
101,FP,"REVILLA VILLANUEVA, CÉSAR MANUEL",PRE
102,PL,"REYES CAM, ABEL AUGUSTO",PRE
103,JPP,"REYMUNDO MERCADO, EDGARD CORNELIO",PRE
104,PL,"RIVAS CHACARA, JANET MILAGROS",PRE
105,PL,"ROBLES ARAUJO, SILVANA EMPERATRIZ",PRE
106,APP,"RUÍZ RODRÍGUEZ, MAGALY ROSMERY",PRE
107,SP-PM,"SAAVEDRA CASTERNOQUE, HITLER",LO
108,APP,"SALHUANA CAVIDES, EDUARDO",AUS
109,JPP,"SÁNCHEZ PALOMINO, ROBERTO HELBERT",PRE
110,AP,"SOTO PALACIOS, WILSON",PRE
111,APP,"SOTO REYES, ALEJANDRO",PRE
112,PL,"TACURI VALDIVIA, GERMÁN ADOLFO",PRE
113,PL,"TAIPE CORONADO, MARÍA ELIZABETH",AUS
114,PL,"TELLO MONTES, NIVARDO EDGAR",PRE
115,APP,"TORRES SALINAS, ROSIO",AUS
116,APP,"TRIGOZO REÁTEGUI, CHERYL",PRE
117,AP-PIS,"TUDELA GUTIÉRREZ, ADRIANA JOSEFINA",PRE
118,PL,"UGARTE MAMANI, JHAKELINE KATY",AUS
119,SP-PM,"VALER PINTO, HÉCTOR",PRE
120,PL,"VARAS MELÉNDEZ, ELÍAS MARCIAL",PRE
121,PL,"VÁSQUEZ VELA, LUCINDA",AUS
122,FP,"VENTURA ANGEL, HÉCTOR JOSÉ",PRE
123,AP,"VERGARA MENDOZA, ELVIS HERNÁN",PRE
124,AP-PIS,"WILLIAMS ZAPATA, JOSÉ DANIEL",PRE
125,PP,"WONG PUJADA, ENRIQUE",AUS
126,AP-PIS,"YARROW LUMBRERAS, NORMA MARTINA",PRE
127,PL,"ZEA CHOQUECHAMBI, OSCAR",PRE
128,RP,"ZEBALLOS APONTE, JORGE ARTURO",PRE
129,AP,"ZEBALLOS MADARIAGA, CARLOS JAVIER",AUS
130,FP,"ZETA CHUNGA, CRUZ MARÍA",AUS
