numero,grupo_parlamentario,congresista,votacion
1,APP,"ACUÑA PERALTA, MARÍA GRIMANEZA",NO
2,APP,"ACUÑA PERALTA, SEGUNDO HÉCTOR",NO
3,PL,"AGÜERO GUTIÉRREZ, MARÍA ANTONIETA",SI
4,FP,"AGUINAGA RECUENCO, ALEJANDRO AURELIO",SI
5,SP-PM,"ALCARRAZ AGUERO, YOREL KIRA",AUS
6,FP,"ALEGRÍA GARCÍA, ARTURO",SI
7,AP,"ALVA PRIETO, MARÍA DEL CARMEN",SI
8,AP,"ALVA ROJAS, CARLOS ENRIQUE",SI
9,AP-PIS,"AMURUZ DULANTO, YESSICA ROSSELLI",SI
10,PP,"ANDERSON RAMÍREZ, CARLOS ANTONIO",SI
11,AP,"ARAGÓN CARREÑO, LUIS ÁNGEL",SI
12,AP,"ARRIOLA TUEROS, JOSÉ ALBERTO",SI
13,SP-PM,"AZURÍN LOAYZA, ALFREDO",NO
14,PL,"BALCÁZAR ZELADA, JOSÉ MARÍA",NO
15,FP,"BARBARÁN REYES, ROSANGELLA ANDREA",SI
16,AP-PIS,"BAZÁN CALDERÓN, DIEGO ALONSO FERNANDO",SI
17,JPP,"BAZÁN NARRO, SIGRID TESORO",NO
18,PL,"BELLIDO UGARTE, GUIDO",SI
19,PL,"BERMEJO ROJAS, GUILLERMO",NO
20,AP-PIS,"BURGOS OLIVEROS, JUAN BARTOLOMÉ",AUS
21,FP,"BUSTAMANTE DONAYRE, ERNESTO",SI
22,PP,"CALLE LOBATÓN, DIGNA",SI
23,APP,"CAMONES SORIANO, LADY MERCEDES",NO
24,FP,"CASTILLO RIVAS, EDUARDO ENRIQUE",SI
25,AP-PIS,"CAVERO ALVA, ALEJANDRO ENRIQUE",SI
26,PL,"CERRÓN ROJAS, WALDEMAR JOSÉ",SI
27,FP,"CHACÓN TRUJILLO, NILZA MERLY",SI
28,PL,"CHÁVEZ CHINO, BETSSY BETZABET",LO
29,APP,"CHIABRA LEÓN, ROBERTO ENRIQUE",NO
30,AP-PIS,"CHIRINOS VENEGAS, PATRICIA ROSA",SI
31,RP,"CICCIA VÁSQUEZ, MIGUEL ANGEL",SI
32,PL,"COAYLA JUÁREZ, JORGE SAMUEL",SI
33,FP,"CORDERO JON TAY, LUIS GUSTAVO",SI
34,FP,"CORDERO JON TAY, MARÍA DEL PILAR",SI
35,AP-PIS,"CÓRDOVA LOBATÓN, MARÍA JESSICA",SI
36,JPP,"CORTEZ AGUIRRE, ISABEL",ABST
37,PL,"CRUZ MAMANI, FLAVIO",SI
38,RP,"CUETO ASERVI, JOSÉ ERNESTO",SI
39,PL,"CUTIPA CCAMA, VÍCTOR RAÚL",NO
40,PL,"DÁVILA ATANACIO, PASIÓN NEOMIAS",NO
41,APP,"DÍAZ MONAGO, FREDDY RONALD",NO
42,AP,"DOROTEO CARBAJO, RAÚL FELIPE",SI
43,APP,"ECHAÍZ DE NÚÑEZ IZAGA, GLADYS MARGOT",SI
44,PL,"ECHEVERRÍA RODRÍGUEZ, HAMLET",NO
45,SP-PM,"ELERA GARCÍA, WILMAR ALBERTO",NO
46,PP,"ELÍAS ÁVALOS, JOSÉ LUIS",SI
47,AP,"ESPINOZA VARGAS, JHAEC DARWIN",SI
48,AP,"FLORES ANCACHI, JORGE LUIS",SI
49,PL,"FLORES RAMÍREZ, ALEX RANDU",SI
50,FP,"FLORES RUÍZ, VÍCTOR SEFERINO",SI
51,APP,"GARCÍA CORREA, IDELSO MANUEL",NO
52,PL,"GONZA CASTILLO, AMERICO",SI
53,AP-PIS,"GONZALES DELGADO, DIANA CAROLINA",SI
54,FP,"GUERRA GARCÍA, CAMPOS HERNANDO",SI
55,PL,"GUTIÉRREZ TICONA, PAUL SILVIO",AUS
56,PL,"HERRERA MAMANI, FERNANDO MARIO",F
57,RP,"HERRERA MEDINA, NOELIA ROSSVITH",SI
58,FP,"HUAMÁN CORONADO, RAÚL",SI
59,FP,"INFANTES CASTAÑEDA, MERY ELIANA",SI
60,RP,"JÁUREGUI MARTÍNEZ DE AGUAYO, MARÍA DE LOS MILAGROS JACKELINE",SI
61,SP-PM,"JERI ORÉ, JOSÉ ENRIQUE",NO
62,FP,"JIMÉNEZ HEREDIA, DAVID JULIO",AUS
63,APP,"JUÁREZ CALLE, HEIDY LISBETH",NO
64,FP,"JUÁREZ GALLEGOS, CARMEN PATRICIA",SI
65,APP,"JULON IRIGOIN, ELVA EDHIT",NO
66,PL,"KAMICHE MORANTE, LUIS ROBERTO",NO
67,FP,"LIZARZABURU LIZARZABURU, JUAN CARLOS MARTIN",SI
68,FP,"LÓPEZ MORALES, JENY LUZ",SI
69,AP,"LÓPEZ UREÑA, ILICH FREDY",SI
70,PP,"LUNA GÁLVEZ, JOSÉ LEÓN",AUS
71,JPP,"LUQUE IBARRA, RUTH",NO
72,SP-PM,"MÁLAGA TRILLO, GEORGE EDWARD",NO
73,PL,"MARTICORENA MENDOZA, JORGE ALFONSO",NO
74,AP,"MARTÍNEZ TALAVERA, PEDRO EDWIN",SI
75,PL,"MEDINA HERMOSILLA, ELIZABETH SARA",SI
76,RP,"MEDINA MINAYA, ESDRAS RICARDO",SI
77,PL,"MONTALVO CUBAS, SEGUNDO TORIBIO",SI
78,AP,"MONTEZA FACHO, SILVIA MARÍA",SI
79,RP,"MONTOYA MANRIQUE, JORGE CARLOS",SI
80,FP,"MORANTE FIGARI, JORGE ALBERTO",SI
81,AP,"MORI CELIS, JUAN CARLOS",LE
82,FP,"MOYANO DELGADO, MARTHA LUPE",SI
83,RP,"MUÑANTE BARRIOS, ALEJANDRO",SI
84,FP,"OBANDO MORGAN, AURISTELA ANA",SI
85,FP,"OLIVOS MARTÍNEZ, VIVIAN",SI
86,SP-PM,"PABLO MEDINA, FLOR AIDEE",NO
87,RP,"PADILLA ROMERO, JAVIER ROMMEL",SI
88,PL,"PALACIOS HUÁMAN, MARGOT",SI
89,PL,"PAREDES CASTRO, FRANCIS JHASMINA",ABST
90,AP,"PAREDES FONSECA, KAROL IVETT",SI
91,PL,"PAREDES GONZALES, ALEX ANTONIO",SI
92,SP-PM,"PAREDES PIQUÉ, SUSEL ANA MARÍA",NO
93,PL,"PARIONA SINCHE, ALFREDO",SI
94,APP,"PICÓN QUEDO, LUIS RAÚL",NO
95,PL,"PORTALATINO ÁVALOS, KELLY ROXANA",SI
96,AP,"PORTERO LÓPEZ, HILDA MARLENY",SI
97,PL,"QUIROZ BARBOZA, SEGUNDO TEODOMIRO",SI
98,PL,"QUISPE MAMANI, WILSON RUSBEL",SI
99,PL,"QUITO SARMIENTO, BERNARDO JAIME",SI
100,FP,"RAMÍREZ GARCÍA, TANIA ESTEFANY",SI
101,FP,"REVILLA VILLANUEVA, CÉSAR MANUEL",SI
102,PL,"REYES CAM, ABEL AUGUSTO",AUS
103,JPP,"REYMUNDO MERCADO, EDGARD CORNELIO",ABST
104,PL,"RIVAS CHACARA, JANET MILAGROS",SI
105,PL,"ROBLES ARAUJO, SILVANA EMPERATRIZ",SI
106,APP,"RUÍZ RODRÍGUEZ, MAGALY ROSMERY",NO
107,SP-PM,"SAAVEDRA CASTERNOQUE, HITLER",NO
108,APP,"SALHUANA CAVIDES, EDUARDO",NO
109,JPP,"SÁNCHEZ PALOMINO, ROBERTO HELBERT",LO
110,AP,"SOTO PALACIOS, WILSON",SI
111,APP,"SOTO REYES, ALEJANDRO",NO
112,PL,"TACURI VALDIVIA, GERMÁN ADOLFO",NO
113,PL,"TAIPE CORONADO, MARÍA ELIZABETH",SI
114,PL,"TELLO MONTES, NIVARDO EDGAR",SI
115,APP,"TORRES SALINAS, ROSIO",NO
116,APP,"TRIGOZO REÁTEGUI, CHERYL",NO
117,AP-PIS,"TUDELA GUTIÉRREZ, ADRIANA JOSEFINA",SI
118,PL,"UGARTE MAMANI, JHAKELINE KATY",SI
119,SP-PM,"VALER PINTO, HÉCTOR",NO
120,PL,"VARAS MELÉNDEZ, ELÍAS MARCIAL",AUS
121,PL,"VÁSQUEZ VELA, LUCINDA",LE
122,FP,"VENTURA ANGEL, HÉCTOR JOSÉ",SI
123,AP,"VERGARA MENDOZA, ELVIS HERNÁN",SI
124,AP-PIS,"WILLIAMS ZAPATA, JOSÉ DANIEL",SI
125,PP,"WONG PUJADA, ENRIQUE",SI
126,AP-PIS,"YARROW LUMBRERAS, NORMA MARTINA",SI
127,PL,"ZEA CHOQUECHAMBI, OSCAR",NO
128,RP,"ZEBALLOS APONTE, JORGE ARTURO",AUS
129,AP,"ZEBALLOS MADARIAGA, CARLOS JAVIER",NO
130,FP,"ZETA CHUNGA, CRUZ MARÍA",SI
