congresista,activo
"ACUÑA PERALTA, MARÍA GRIMANEZA",SI
"ACUÑA PERALTA, SEGUNDO HÉCTOR",SI
"AGÜERO GUTIÉRREZ, MARÍA ANTONIETA",SI
"AGUINAGA RECUENCO, ALEJANDRO AURELIO",SI
"ALCARRAZ AGUERO, YOREL KIRA",SI
"ALEGRÍA GARCÍA, ARTURO",SI
"ALVA PRIETO, MARÍA DEL CARMEN",SI
"ALVA ROJAS, CARLOS ENRIQUE",SI
"AMURUZ DULANTO, YESSICA ROSSELLI",SI
"ANDERSON RAMÍREZ, CARLOS ANTONIO",SI
"ARAGÓN CARREÑO, LUIS ÁNGEL",SI
"ARRIOLA TUEROS, JOSÉ ALBERTO",SI
"AZURÍN LOAYZA, ALFREDO",SI
"BALCÁZAR ZELADA, JOSÉ MARÍA",SI
"BARBARÁN REYES, ROSANGELLA ANDREA",SI
"BAZÁN CALDERÓN, DIEGO ALONSO FERNANDO",SI
"BAZÁN NARRO, SIGRID TESORO",SI
"BELLIDO UGARTE, GUIDO",SI
"BERMEJO ROJAS, GUILLERMO",SI
"BURGOS OLIVEROS, JUAN BARTOLOMÉ",SI
"BUSTAMANTE DONAYRE, ERNESTO",SI
"CALLE LOBATÓN, DIGNA",SI
"CAMONES SORIANO, LADY MERCEDES",SI
"CASTILLO RIVAS, EDUARDO ENRIQUE",SI
"CAVERO ALVA, ALEJANDRO ENRIQUE",SI
"CERRÓN ROJAS, WALDEMAR JOSÉ",SI
"CHACÓN TRUJILLO, NILZA MERLY",SI
"CHÁVEZ CHINO, BETSSY BETZABET",SI
"CHIABRA LEÓN, ROBERTO ENRIQUE",SI
"CHIRINOS VENEGAS, PATRICIA ROSA",SI
"CICCIA VÁSQUEZ, MIGUEL ANGEL",SI
"COAYLA JUÁREZ, JORGE SAMUEL",SI
"CORDERO JON TAY, LUIS GUSTAVO",SI
"CORDERO JON TAY, MARÍA DEL PILAR",SI
"CÓRDOVA LOBATÓN, MARÍA JESSICA",SI
"CORTEZ AGUIRRE, ISABEL",SI
"CRUZ MAMANI, FLAVIO",SI
"CUETO ASERVI, JOSÉ ERNESTO",SI
"CUTIPA CCAMA, VÍCTOR RAÚL",SI
"DÁVILA ATANACIO, PASIÓN NEOMIAS",SI
"DÍAZ MONAGO, FREDDY RONALD",SI
"DOROTEO CARBAJO, RAÚL FELIPE",SI
"ECHAÍZ DE NÚÑEZ IZAGA, GLADYS MARGOT",SI
"ECHEVERRÍA RODRÍGUEZ, HAMLET",SI
"ELERA GARCÍA, WILMAR ALBERTO",SI
"ELÍAS ÁVALOS, JOSÉ LUIS",SI
"ESPINOZA VARGAS, JHAEC DARWIN",SI
"FLORES ANCACHI, JORGE LUIS",SI
"FLORES RAMÍREZ, ALEX RANDU",SI
"FLORES RUÍZ, VÍCTOR SEFERINO",SI
"GARCÍA CORREA, IDELSO MANUEL",SI
"GONZA CASTILLO, AMERICO",SI
"GONZALES DELGADO, DIANA CAROLINA",SI
"GUERRA GARCÍA, CAMPOS HERNANDO",SI
"GUTIÉRREZ TICONA, PAUL SILVIO",SI
"HERRERA MAMANI, FERNANDO MARIO",NO
"HERRERA MEDINA, NOELIA ROSSVITH",SI
"HUAMÁN CORONADO, RAÚL",SI
"INFANTES CASTAÑEDA, MERY ELIANA",SI
"JÁUREGUI MARTÍNEZ DE AGUAYO, MARÍA DE LOS MILAGROS JACKELINE",SI
"JERI ORÉ, JOSÉ ENRIQUE",SI
"JIMÉNEZ HEREDIA, DAVID JULIO",SI
"JUÁREZ CALLE, HEIDY LISBETH",SI
"JUÁREZ GALLEGOS, CARMEN PATRICIA",SI
"JULON IRIGOIN, ELVA EDHIT",SI
"KAMICHE MORANTE, LUIS ROBERTO",SI
"LIMACHI QUISPE, NIEVES ESMERALDA",SI
"LIZARZABURU LIZARZABURU, JUAN CARLOS MARTIN",SI
"LÓPEZ MORALES, JENY LUZ",SI
"LÓPEZ UREÑA, ILICH FREDY",SI
"LUNA GÁLVEZ, JOSÉ LEÓN",SI
"LUQUE IBARRA, RUTH",SI
"MÁLAGA TRILLO, GEORGE EDWARD",SI
"MARTICORENA MENDOZA, JORGE ALFONSO",SI
"MARTÍNEZ TALAVERA, PEDRO EDWIN",SI
"MEDINA HERMOSILLA, ELIZABETH SARA",SI
"MEDINA MINAYA, ESDRAS RICARDO",SI
"MONTALVO CUBAS, SEGUNDO TORIBIO",SI
"MONTEZA FACHO, SILVIA MARÍA",SI
"MONTOYA MANRIQUE, JORGE CARLOS",SI
"MORANTE FIGARI, JORGE ALBERTO",SI
"MORI CELIS, JUAN CARLOS",SI
"MOYANO DELGADO, MARTHA LUPE",SI
"MUÑANTE BARRIOS, ALEJANDRO",SI
"OBANDO MORGAN, AURISTELA ANA",SI
"OLIVOS MARTÍNEZ, VIVIAN",SI
"PABLO MEDINA, FLOR AIDEE",SI
"PADILLA ROMERO, JAVIER ROMMEL",SI
"PALACIOS HUÁMAN, MARGOT",SI
"PAREDES CASTRO, FRANCIS JHASMINA",SI
"PAREDES FONSECA, KAROL IVETT",SI
"PAREDES GONZALES, ALEX ANTONIO",SI
"PAREDES PIQUÉ, SUSEL ANA MARÍA",SI
"PARIONA SINCHE, ALFREDO",SI
"PICÓN QUEDO, LUIS RAÚL",SI
"PORTALATINO ÁVALOS, KELLY ROXANA",SI
"PORTERO LÓPEZ, HILDA MARLENY",SI
"QUIROZ BARBOZA, SEGUNDO TEODOMIRO",SI
"QUISPE MAMANI, WILSON RUSBEL",SI
"QUITO SARMIENTO, BERNARDO JAIME",SI
"RAMÍREZ GARCÍA, TANIA ESTEFANY",SI
"REVILLA VILLANUEVA, CÉSAR MANUEL",SI
"REYES CAM, ABEL AUGUSTO",SI
"REYMUNDO MERCADO, EDGARD CORNELIO",SI
"RIVAS CHACARA, JANET MILAGROS",SI
"ROBLES ARAUJO, SILVANA EMPERATRIZ",SI
"RUÍZ RODRÍGUEZ, MAGALY ROSMERY",SI
"SAAVEDRA CASTERNOQUE, HITLER",SI
"SALHUANA CAVIDES, EDUARDO",SI
"SÁNCHEZ PALOMINO, ROBERTO HELBERT",SI
"SOTO PALACIOS, WILSON",SI
"SOTO REYES, ALEJANDRO",SI
"TACURI VALDIVIA, GERMÁN ADOLFO",SI
"TAIPE CORONADO, MARÍA ELIZABETH",SI
"TELLO MONTES, NIVARDO EDGAR",SI
"TORRES SALINAS, ROSIO",SI
"TRIGOZO REÁTEGUI, CHERYL",SI
"TUDELA GUTIÉRREZ, ADRIANA JOSEFINA",SI
"UGARTE MAMANI, JHAKELINE KATY",SI
"VALER PINTO, HÉCTOR",SI
"VARAS MELÉNDEZ, ELÍAS MARCIAL",SI
"VÁSQUEZ VELA, LUCINDA",SI
"VENTURA ANGEL, HÉCTOR JOSÉ",SI
"VERGARA MENDOZA, ELVIS HERNÁN",SI
"WILLIAMS ZAPATA, JOSÉ DANIEL",SI
"WONG PUJADA, ENRIQUE",SI
"YARROW LUMBRERAS, NORMA MARTINA",SI
"ZEA CHOQUECHAMBI, OSCAR",SI
"ZEBALLOS APONTE, JORGE ARTURO",SI
"ZEBALLOS MADARIAGA, CARLOS JAVIER",SI
"ZETA CHUNGA, CRUZ MARÍA",SI