periodo_parlamentario,periodo_anual,legislatura,fecha,titulo,url,filename,paginas,provisional
2021-2026,2022-2023,Primera Legislatura Ordinaria,2022-09-02,"Asistencias y votaciones PROVISIONALES de la sesión del 02-09-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/5C5D162A0BE90B4A052588B1005EAD0C/$FILE/Asis_vot_PROVISIONAL_02-09-22.pdf,Asis_vot_PROVISIONAL_02-09-22.pdf,0,true
2021-2026,2022-2023,Primera Legislatura Ordinaria,2022-09-01,"Asistencias y votaciones PROVISIONALES de la sesión vespertina del 01-09-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/CABAD6859871E939052588B100064C05/$FILE/Asis_vot_PROVISIONAL_Vespertina_01-09-22.pdf,Asis_vot_PROVISIONAL_Vespertina_01-09-22.pdf,0,true
2021-2026,2022-2023,Primera Legislatura Ordinaria,2022-09-01,"Asistencias y votaciones PROVISIONALES de la sesión matinal del 01-09-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/9C924DFC67A7A450052588B0006C7DC3/$FILE/Asis_vot_PROVISIONAL_Matinal_01-09-22.pdf,Asis_vot_PROVISIONAL_Matinal_01-09-22.pdf,0,true
2021-2026,2022-2023,Primera Legislatura Ordinaria,2022-08-29,"Asistencias y votaciones PROVISIONALES de la sesión vespertina del 29-08-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/B6FBAF383DA4F271052588AD00810449/$FILE/Asis_vot_PROVISIONAL_29-08-22_Vespertina.pdf,Asis_vot_PROVISIONAL_29-08-22_Vespertina.pdf,0,true
2021-2026,2022-2023,Primera Legislatura Ordinaria,2022-08-29,"Asistencias y votaciones PROVISIONALES de la sesión matinal del 29-08-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/24FC6324543CC466052588AD0071ABEF/$FILE/Asis_vot_PROVISIONAL_29-08-22_Matinal.pdf,Asis_vot_PROVISIONAL_29-08-22_Matinal.pdf,0,true
2021-2026,2022-2023,Primera Legislatura Ordinaria,2022-08-18,"Asistencia de la sesión del 18-08-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/383A2010518496F2052588A3005CE491/$FILE/Asis_OFICIAL_18-08-2022.pdf,Asis_OFICIAL_18-08-2022.pdf,0,false
2021-2026,2022-2023,Primera Legislatura Ordinaria,2022-08-16,"Asistencias y votaciones de la sesión del 16-08-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/B60B3431812C84BC052588A3005CCD79/$FILE/Asis_vot_OFICIAL_16-08-22.pdf,Asis_vot_OFICIAL_16-08-22.pdf,0,false
2021-2026,2022-2023,Primera Legislatura Ordinaria,2022-08-11,"Asistencias y votaciones de la sesión del 11-08-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/60F62C908564D195052588A000555D56/$FILE/Asit_vot_de_la_sesión_del_11-08-2022.pdf,Asit_vot_de_la_sesión_del_11-08-2022.pdf,7,false
2021-2026,2022-2023,Primera Legislatura Ordinaria,2022-08-04,"Asistencias y votaciones de la sesión del 04-08-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/992CDFD3FBA9849D05258898005EF054/$FILE/Asis_vot_OFICIAL_04-08-22.pdf,Asis_vot_OFICIAL_04-08-22.pdf,0,false
2021-2026,2022-2023,Primera Legislatura Ordinaria,2022-07-30,"Asistencias y votaciones de la sesión del 30-07-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/913AEE37B6BC333205258898005E280F/$FILE/Asis_vot_OFICIAL_30-07-2022.pdf,Asis_vot_OFICIAL_30-07-2022.pdf,0,false
2021-2026,2022-2023,Primera Legislatura Ordinaria,2022-07-28,"Asistencia a la sesión del 28-07-2022 (Sesión Solemne)",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/DB0C352383960F690525888F0064A990/$FILE/Asis_OFICIAL_28-07-2022.pdf,Asis_OFICIAL_28-07-2022.pdf,0,false
2021-2026,2022-2023,Primera Legislatura Ordinaria,2022-07-27,"Asistencia de la sesión del 27-07-2022 (Sesión de Instalación de la Legislatura 2022 - 2023)",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/A18B420A9F3DC3000525888F0064907B/$FILE/Asis_OFICIAL_27-07-2022.pdf,Asis_OFICIAL_27-07-2022.pdf,0,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-07-26,"Asistencia de la sesión del 26-07-2022 Elección de la Mesa Directiva",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/697D4E4503AF347B0525888C0052D0E0/$FILE/Asis_OFICIAL_26-07-22.pdf,Asis_OFICIAL_26-07-22.pdf,0,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-07-15,"Asistencias y votaciones de la sesión del 15-07-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/2F624BB35DAFD6890525888F006A304F/$FILE/Asis_vot_OFICIAL_15-07-2022.pdf,Asis_vot_OFICIAL_15-07-2022.pdf,0,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-07-14,"Asistencias y votaciones de la sesión del 14-07-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/82541EBCC48D1D6D0525888B00561C08/$FILE/Asis_vot_OFICIAL_14-07-22.pdf,Asis_vot_OFICIAL_14-07-22.pdf,0,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-07-13,"Asistencias y votaciones de la sesión del 13-07-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/F54E4633A78E76420525888A00730BD7/$FILE/Asis_vot_OFICIAL_13-07-2022.pdf,Asis_vot_OFICIAL_13-07-2022.pdf,34,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-07-12,"Asistencias y votaciones de la sesión del 12-07-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/8B72AAF6D0E4F63C0525888B00560BD7/$FILE/Asis_vot_OFICIAL_12-07-22.pdf,Asis_vot_OFICIAL_12-07-22.pdf,0,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-07-07,"Asistencias y votaciones de la sesión del 07-07-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/F1F91630B34CC49C0525887D006EE3AA/$FILE/Asis_vot_OFICIAL_07-07-22.pdf,Asis_vot_OFICIAL_07-07-22.pdf,23,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-07-06,"Asistencias y votaciones de la sesión del 06-07-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/E715405F3B78C99B0525887D006EC6BB/$FILE/Asis_vot_OFICIAL_06-07-22.pdf,Asis_vot_OFICIAL_06-07-22.pdf,23,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-06-30,"Asistencias y votaciones de la sesión del 30-06-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/CA6ADB62271F33DF0525887600526F62/$FILE/Asis_vot_OFICIAL_30-06-22.pdf,Asis_vot_OFICIAL_30-06-22.pdf,17,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-06-16,"Asistencias y votaciones de la sesión del 16-06-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/C11C03AEE1F9C33C052588680076BC95/$FILE/Asis_vot_OFICIAL_16-06-22.pdf,Asis_vot_OFICIAL_16-06-22.pdf,56,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-06-15,"Asistencias y votaciones de la sesión del 15-06-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/A2D16B5EA203D3EE0525886800720657/$FILE/Asis_vot_OFICIAL_15-06-22.pdf,Asis_vot_OFICIAL_15-06-22.pdf,15,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-06-09,"Asistencias y votaciones de la sesión del 09-06-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/ACA6624356390AF605258862006BAE8B/$FILE/Asis_vot_OFICIAL_09-06-22.pdf,Asis_vot_OFICIAL_09-06-22.pdf,45,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-06-02,"Asistencias y votaciones de la sesión del 02-06-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/19EA839126FB30640525885D006F8F80/$FILE/Asis_vot_OFICIAL_02-06-22.pdf,Asis_vot_OFICIAL_02-06-22.pdf,41,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-06-01,"Asistencias y votaciones de la sesión del 01-06-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/E2EC14BF3D3A443F0525885A00618BB5/$FILE/Asis_vot_OFICIAL_01-06-22.pdf,Asis_vot_OFICIAL_01-06-22.pdf,13,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-05-26,"Asistencias y votaciones de la sesión del 26-05-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/6C9162D6F45230A005258854005D835F/$FILE/Asis_vot_OFICIAL_26-05-22.pdf,Asis_vot_OFICIAL_26-05-22.pdf,36,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-05-25,"Asistencias y votaciones de la sesión del 25-05-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/0A57829C39AEA7E4052588520055D42B/$FILE/Asis_vot_OFICIAL_25-05-22.pdf,Asis_vot_OFICIAL_25-05-22.pdf,9,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-05-12,"Asistencias y votaciones de la sesión del 12-05-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/D440D45308F396F20525884400726192/$FILE/Asis_vot_OFICIAL_12-05-22.pdf,Asis_vot_OFICIAL_12-05-22.pdf,10,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-05-11,"Asistencias y votaciones de la sesión del 11-05-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/C2A60BCB0DEF41F405258844006AAA14/$FILE/Asis_vot_OFICIAL_11-05-22.pdf,Asis_vot_OFICIAL_11-05-22.pdf,5,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-05-10,"Asistencias y votaciones de la sesión del 10-05-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/D45900B05704E0B7052588400074D181/$FILE/Asis_vot_OFICIAL_10-05-22.pdf,Asis_vot_OFICIAL_10-05-22.pdf,12,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-05-05,"Asistencias y votaciones de la sesión del 05-05-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/6917D587EA90A3AD052588440072A258/$FILE/Asis_vot_OFICIAL_05-05-22.pdf,Asis_vot_OFICIAL_05-05-22.pdf,37,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-05-04,"Asistencias y votaciones de la sesión del 04-05-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/8471CF41214854640525883F00502057/$FILE/Asis_vot_OFICIAL_04-05-22.pdf,Asis_vot_OFICIAL_04-05-22.pdf,28,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-05-03,"Asistencias y votaciones de la sesión del 03-05-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/A3116AEE5521F0890525883900746BFE/$FILE/Asis_vot_OFICIAL_03-05-2022.pdf,Asis_vot_OFICIAL_03-05-2022.pdf,15,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-04-28,"Asistencias y votaciones de la sesión del 28-04-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/D513E2F2A01D5BDC0525883A0076BF02/$FILE/Asis_vot_OFICIAL_28-04-22.pdf,Asis_vot_OFICIAL_28-04-22.pdf,37,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-04-27,"Asistencias y votaciones de la sesión del 27-04-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/DB6D4B0678815E630525883900747995/$FILE/Asis_vot_OFICIAL_27-04-2022.pdf,Asis_vot_OFICIAL_27-04-2022.pdf,11,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-04-12,"Asistencias y votaciones de la sesión del 12-04-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/9189DF785DE110F605258829005A74F6/$FILE/Asis_vot_OFICIAL_12-04-22.pdf,Asis_vot_OFICIAL_12-04-22.pdf,18,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-04-07,"Asistencias y votaciones de la sesión del 07-04-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/C2160BA5634F875F05258829005CBD64/$FILE/Asis_vot_OFICIAL_07-04-2022.pdf,Asis_vot_OFICIAL_07-04-2022.pdf,37,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-04-04,"Asistencias y votaciones de la sesión del 04-04-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/CE29D238626D53C00525881D004FEB69/$FILE/Asis_vot_OFICIAL_04-04-2022.pdf,Asis_vot_OFICIAL_04-04-2022.pdf,7,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-03-31,"Asistencias y votaciones de la sesión del 31-03-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/01CDED070EFD1DB80525881C00748B53/$FILE/Asis_vot_OFICIAL_31-03-22.pdf,Asis_vot_OFICIAL_31-03-22.pdf,42,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-03-28,"Asistencias y votaciones de la sesión del 28-03-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/D2AA37E980AADA420525881400722B71/$FILE/Asis_vot_OFICIAL_28-03-2022.pdf,Asis_vot_OFICIAL_28-03-2022.pdf,9,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-03-16,"Asistencias y votaciones de la sesión del 16-03-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/F2F7A5E692A6C48E05258808001ABFD1/$FILE/asistencia-y-votaciones-OFICIALES-del-16-03-2022.pdf,asistencia-y-votaciones-OFICIALES-del-16-03-2022.pdf,36,false
2021-2026,2021-2022,Segunda Legislatura Ordinaria,2022-03-15,"Asistencia de la sesión del 15-03-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/310698C104C79CEB05258807007B19D9/$FILE/Asis_OFICIAL_15-03-22.pdf,Asis_OFICIAL_15-03-22.pdf,1,false
